PMCID,Field,JSON_Value,TSV_Value
PMC10374349,publication/doi,Not enough information is available.,10.1055/a-2034-3803
PMC9664923,publication/title,"A Predictive Machine Learning Tool for Asthma Exacerbations: Results from a 12-Week, Open-Label Study Using an Electronic Multi-Dose Dry Powder Inhaler with Integrated Sensors","A Predictive Machine Learning Tool for Asthma Exacerbations: Results from a 12-Week, Open-Label Study Using an Electronic Multi-Dose Dry Powder Inhaler with Integrated Sensors."
PMC9664923,publication/authors,"The authors who contributed to this article are:

- Njira L Lugogo, who contributed to the conception, study design, data analysis, and data interpretation.
- Michael DePietro, who contributed to the conception, study design, data analysis, and data interpretation.
- Michael Reich, who contributed to the conception, study design, data analysis, and data interpretation.
- Rajan Merchant, who contributed to the conception, study design, data analysis, and data interpretation.
- Henry Chrystyn, who contributed to the conception, study design, data analysis, and data interpretation.
- Roy Pleasants, who contributed to the conception, study design, data analysis, and data interpretation.
- Lena Granovsky, who contributed to the conception, study design, data analysis, and data interpretation.
- Thomas Li, who contributed to the conception, study design, data analysis, and data interpretation.
- Tanisha Hill, who contributed to the conception, study design, data analysis, and data interpretation.
- Randall W Brown, who contributed to the conception, study design, data analysis, and data interpretation.
- Guilherme Safioti, who contributed to the conception, study design, data analysis, and data interpretation.

Additionally, several individuals were acknowledged for their important contributions to the conception, design, and direction of the study, as well as to the statistical analysis and machine learning modeling. These include Thomas Ferro, Dilip Chary, Dan Buck, Enric Calderon, Mark Milton-Edwards, Shai Fine, and Shahar Cohen. Melanie Francis, MSc, of Ashfield MedComms, was also acknowledged for her medical writing support in the preparation of the manuscript.","Lugogo NL, DePietro M, Reich M, Merchant R, Chrystyn H, Pleasants R, Granovsky L, Li T, Hill T, Brown RW, Safioti G"
PMC9664923,publication/journal,Journal of Asthma and Allergy,Journal of asthma and allergy
PMC9664923,publication/doi,https://doi.org/10.2147/JAA.S377631,10.2147/jaa.s377631
PMC11849444,publication/title,Noninvasive Prediction of Microvascular Invasion in Hepatocellular Carcinoma Using Topological Convolutional Neural Networks,MRI-Based Topology Deep Learning Model for Noninvasive Prediction of Microvascular Invasion and Assisting Prognostic Stratification in HCC.
PMC11849444,publication/authors,"The authors who contributed to this article are:

- Mustafa R. Bashir, who is a principal investigator on grants paid to his institution from several organizations, including the National Cancer Institute, Siemens Healthineers, Bayer Healthcare, NGM Biopharmaceuticals, Madrigal Pharmaceuticals, and Carmot.

- Yuanan Wu, who assisted with the statistical analysis.

- Zhenru Wu, who provided assistance with the histopathologic examinations.

- Editage, who performed the language recheck and editing.

The specific contributions of the other authors are not detailed.","Zheng T, Zhu Y, Jiang H, Yang C, Ye Y, Bashir MR, Li C, Long L, Luo S, Song B, Chen Y, Chen Y"
PMC11849444,publication/journal,Liver International,Liver international : official journal of the International Association for the Study of the Liver
PMC11849444,publication/doi,Not enough information is available.,10.1111/liv.16205
PMC11569556,publication/title,Artificial intelligence to predict individualized outcome of acute ischemic stroke patients: The SIBILLA project,Artificial intelligence to predict individualized outcome of acute ischemic stroke patients: The SIBILLA project.
PMC11569556,publication/authors,"The authors who contributed to this article are:

P. Caliandro, J. L., G. R., S. P., M. M., A. D., L. T., I. V., V. V., S. S., C. U., S. F. N., A. Z.

P. Caliandro, J. L., and G. R. researched literature and conceived the study. P. Caliandro, J. L., G. R., S. P., M. M., A. D., L. T., I. V., V. V., and P. Caliandro were involved in protocol development and gaining ethical approval. All authors were involved in features selection. P. Caliandro, G. R., J. L., S. S., C. U., S. F. N., M. M., M. M., and A. Z. were involved in data analysis. P. Caliandro, G. R., J. L., S. S., A. Z., and M. M. wrote the first draft of the manuscript. All authors critically reviewed and edited the manuscript and approved the final version of the manuscript.","Caliandro P, Lenkowicz J, Reale G, Scaringi S, Zauli A, Uccheddu C, Fabiole-Nicoletto S, Patarnello S, Damiani A, Tagliaferri L, Valente I, Moci M, Monforte M, Valentini V, Calabresi P"
PMC11569556,publication/journal,Not enough information is available.,European stroke journal
PMC11569556,publication/year,2023,2024
PMC11569556,publication/doi,Not enough information is available.,10.1177/23969873241253366
PMC7537153,publication/title,COVID-19 Drug Discovery and Pandemic Preparedness,Viral pandemic preparedness: A pluripotent stem cell-based machine-learning platform for simulating SARS-CoV-2 infection to enable drug discovery and repurposing.
PMC7537153,publication/authors,Not enough information is available.,"Esmail S, Danter W, Danter W"
PMC7537153,publication/journal,Not enough information is available.,Stem cells translational medicine
PMC7537153,publication/doi,Not enough information is available.,10.1002/sctm.20-0181
PMC9041159,publication/title,Interdisciplinary Perspectives on Infectious Diseases,Prediction of COVID-19 Pandemic in Bangladesh: Dual Application of Susceptible-Infective-Recovered (SIR) and Machine Learning Approach.
PMC9041159,publication/authors,Not enough information is available.,"Haq I, Hossain MI, Saleheen AAS, Nayan MIH, Mila MS"
PMC9041159,publication/journal,Interdisciplinary Perspectives on Infectious Diseases,Interdisciplinary perspectives on infectious diseases
PMC9041159,publication/doi,https://doi.org/10.1155/2022/8570089,10.1155/2022/8570089
PMC8722581,publication/title,Not enough information is available.,Predicting primary outcomes of brain tumor patients with advanced neuroimaging MRI measures.
PMC8722581,publication/authors,Not enough information is available.,"Vergun S, Suhonen JI, Nair VA, Kuo JS, Baskaya MK, Garcia-Ramos C, Meyerand EE, Prabhakaran V"
PMC8722581,publication/journal,Interdiscip Neurosurg,Interdisciplinary neurosurgery : Advanced techniques and case management
PMC8722581,publication/year,2022,2018
PMC8722581,publication/doi,Not enough information is available,10.1016/j.inat.2018.04.013
PMC8654111,publication/title,Not enough information is available.,A machine learning approach for classifying and quantifying acoustic diversity.
PMC8654111,publication/authors,"The authors who contributed to the article are:

- Keen, J. O. (KJO)
- Mason, A. S. (MAS)
- Keen, G. M. (GMK)
- Wright, T. F. (TFW)

The specific contributions of each author to the paper are not detailed.","Keen SC, Odom KJ, Webster MS, Kohn GM, Wright TF, Araya-Salas M"
PMC8654111,publication/journal,Methods in Ecology and Evolution,Methods in ecology and evolution
PMC10497900,publication/title,"Comparison of intracranial pressure prediction in hydrocephalus patients among linear, non-linear, and machine learning regression models in Thailand","Comparison of intracranial pressure prediction in hydrocephalus patients among linear, non-linear, and machine learning regression models in Thailand."
PMC10497900,publication/authors,"The authors who contributed to this article are:

- **Akkarapong Trakulpanitkit**: This author was involved in the study of intracranial pressure prediction in hydrocephalus. Their contributions likely include research design, data collection, analysis, and interpretation of results related to the prediction models and statistical methods used.

- **Tunthanathip Tunthanathip**: This author also played a significant role in the study. Their contributions likely include the development and implementation of machine learning models, such as random forest and XGBoost, for predicting intracranial pressure. They may have also been involved in the statistical analysis and the interpretation of the results, as well as the writing and editing of the manuscript.","Trakulpanitkit A, Tunthanathip T"
PMC10497900,publication/journal,Acute and Critical Care,Acute and critical care
PMC10497900,publication/doi,10.1016/j.acc.2023.06.002,10.4266/acc.2023.00094
PMC11462445,publication/title,Machine learning models for mortality prediction in critically ill patients with acute pancreatitis–associated acute kidney injury,Machine learning models for mortality prediction in critically ill patients with acute pancreatitis-associated acute kidney injury.
PMC11462445,publication/authors,"The authors who contributed to this article are:

- Y. Liu, who was responsible for conceptualization, methodology, data acquisition and management, formal analysis, visualization, writing the original draft and review and editing.
- X. Z., who was responsible for methodology, data acquisition and management, review and editing and validation.
- J. X., who was responsible for data acquisition and management, review and editing and validation.
- R. M., who was responsible for data acquisition and management, review and editing and validation.
- W. C., who was responsible for conceptualization, methodology, review and editing, supervision, formal analysis and validation, funding acquisition and project administration.
- W. D., who was responsible for methodology, review and editing, supervision, formal analysis and validation.

All authors read and approved the final manuscript.","Liu Y, Zhu X, Xue J, Maimaitituerxun R, Chen W, Dai W"
PMC11462445,publication/journal,Clinical Kidney Journal,Clinical kidney journal
PMC11462445,publication/year,2023,2024
PMC11462445,publication/doi,https://doi.org/10.1093/ckj/sfae284,10.1093/ckj/sfae284
PMC8851712,publication/title,Antibody attributes that predict the neutralization and effector function of polyclonal responses to SARS-CoV-2,Antibody attributes that predict the neutralization and effector function of polyclonal responses to SARS-CoV-2.
PMC8851712,publication/authors,"The authors who contributed to this article are as follows:

Hemant Natarajan and Shuo Xie drafted the manuscript.

Hemant Natarajan and Shuo Xie performed data analysis.

Hemant Natarajan, Anusha R. Chinnakannan, Sarah E. Brown, Kelsey L. Smith, Rebecca S. Soh, Oluwaseyi A. Adegoke, William W. A. Webster, and Rachel I. Chasan collected experimental data.

Emily M. Berman, Rebecca S. Soh, Oluwaseyi A. Adegoke, Aarthi Arumugakani, David Samuels, and Shyam S. Sathyanarayana contributed samples.

All authors reviewed and edited the manuscript.

The research was supervised by Matthew E. Auerbach, Peter F. Wright, Andrew D. Redd, Aarthi Arumugakani, Andrew C. Adams, and Andrew P. Rice.

The work was conceived by Matthew E. Auerbach.","Natarajan H, Xu S, Crowley AR, Butler SE, Weiner JA, Bloch EM, Littlefield K, Benner SE, Shrestha R, Ajayi O, Wieland-Alter W, Sullivan D, Shoham S, Quinn TC, Casadevall A, Pekosz A, Redd AD, Tobian AAR, Connor RI, Wright PF, Ackerman ME"
PMC8851712,publication/journal,BMC Immunology,BMC immunology
PMC11655905,publication/title,Machine learning-driven simplification of the hypomania checklist-32 for adolescent: a feature selection approach,Machine learning-driven simplification of the hypomania checklist-32 for adolescent: a feature selection approach.
PMC11655905,publication/authors,"The authors who contributed to this article are:

Guanghui Shen, who was involved in formal analysis, writing the original draft, and reviewing and editing the manuscript.

Xinwu Ye, who also contributed to formal analysis, writing the original draft, and reviewing and editing the manuscript.

Haoran Chen, who participated in writing the review and editing, investigation, and conceptualization.

Xiaodong Xue, who contributed to writing the review and editing, investigation, and conceptualization.

Shusi Tang, who was involved in investigation, methodology, and writing the original draft.","Shen G, Chen H, Ye X, Xue X, Tang S"
PMC11655905,publication/journal,International Journal of Bipolar Disorders,International journal of bipolar disorders
PMC11235401,publication/title,Not enough information is available.,Optimal computed tomography-based biomarkers for prediction of incisional hernia formation.
PMC11235401,publication/authors,"The authors who contributed to this article are:

- Talwar, who is the first author and likely played a significant role in the research and writing of the paper.
- McAuliffe, who contributed to the delineated regions on slices for which volumetric measurements are computed.
- Besancenot, who identified chronic obstructive pulmonary disease (COPD) as a risk factor for IH.
- Reilly, who contributed to the review of molecular biology associated with an increased incidence of incisional hernia.
- Durukan, who contributed to the role of tissue inhibitor of metalloproteinases in the aetiology of inguinal and incisional hernias.
- Maclin, who contributed to the empirical study of popular ensemble methods.
- Zhou, who contributed to the foundations and algorithms of ensemble methods.
- Hosni, who contributed to the review of ensemble classification methods in breast cancer.
- Chandra, who contributed to ensemble learning using multi-objective evolutionary algorithms.
- Chatzimparmpas, who contributed to the alignment of data, algorithms, and models for stacking ensemble learning using performance metrics.","Talwar AA, Desai AA, McAuliffe PB, Broach RB, Hsu JY, Liu T, Udupa JK, Tong Y, Torigian DA, Fischer JP"
PMC11235401,publication/journal,Hernia,Hernia : the journal of hernias and abdominal wall surgery
PMC11235401,publication/doi,Not enough information is available.,10.1007/s10029-023-02835-7
PMC8936051,publication/title,Efficient identification of anti-SARS-CoV-2 compounds using chemical structure and biological activity based modeling,Efficient Identification of Anti-SARS-CoV-2 Compounds Using Chemical Structure- and Biological Activity-Based Modeling.
PMC8936051,publication/authors,Not enough information is available.,"Xu T, Xu M, Zhu W, Chen CZ, Zhang Q, Zheng W, Huang R"
PMC8936051,publication/journal,J Med Chem.,Journal of medicinal chemistry
PMC6857844,publication/title,Deep Learning Analysis of Cerebral Blood Flow to Identify Cognitive Impairment and Frailty in Persons Living With HIV,Deep Learning Analysis of Cerebral Blood Flow to Identify Cognitive Impairment and Frailty in Persons Living With HIV.
PMC6857844,publication/authors,Not enough information is available.,"Luckett P, Paul RH, Navid J, Cooley SA, Wisch JK, Boerwinkle AH, Tomov D, Ances BM"
PMC6857844,publication/journal,J Acquir Immune Defic Syndr.,Journal of acquired immune deficiency syndromes (1999)
PMC6857844,publication/doi,10.1097/QAI.0000000000002181,10.1097/qai.0000000000002181
PMC11605997,publication/title,Towards a microRNA-based Johne’s disease diagnostic predictive system: Preliminary results,Towards a microRNA-based Johne's disease diagnostic predictive system: Preliminary results.
PMC11605997,publication/authors,"The authors who contributed to this article are:

- Eve Hanks, who contributed to conceptualization and funding acquisition.
- Javier Palarea-Albaladejo, who contributed to conceptualization, methodology, formal analysis, software, supervision, and writing.
- Robert Coultous, who contributed to conceptualization, methodology, supervision, and writing.
- Paul Capewell, who contributed to methodology, formal analysis, software, and writing.
- Arianne Lowe, who contributed to investigation and data curation.
- David Wilson, who contributed to investigation and data curation.
- Michael Hutchings, who contributed to investigation, data curation, and supervision.
- Spiridoula Athanasiadou, who contributed to investigation and data curation.

All authors contributed to the writing of the paper.","Capewell P, Lowe A, Athanasiadou S, Wilson D, Hanks E, Coultous R, Hutchings M, Palarea-Albaladejo J"
PMC11605997,publication/journal,Veterinary Record,The Veterinary record
PMC9746351,publication/title,Not enough information is available.,Gut metagenome-derived signature predicts hepatic decompensation and mortality in NAFLD-related cirrhosis.
PMC9746351,publication/authors,"The authors who contributed to the article are:

- Sharpton, who is the first author and likely played a significant role in the research and writing of the manuscript.
- Ajmera, who is also listed as an author and contributed to the study.
- Loomba, who is the last author and likely served as a senior author, providing guidance and oversight throughout the research and writing process.

The article also acknowledges the contributions of other individuals who meet authorship criteria, indicating that they participated sufficiently in the work to take responsibility for the content. This includes involvement in the concept, design, analysis, writing, or revision of the manuscript. All authors approved the final version of the manuscript.","Sharpton SR, Oh TG, Madamba E, Wang C, Yu RT, Atkins AR, Huan T, Downes M, Evans RM, Loomba R"
PMC9746351,publication/journal,Aliment Pharmacol Ther.,Alimentary pharmacology & therapeutics
PMC10869931,publication/title,Not enough information is available.,"Uncovering hub genes and immunological characteristics for heart failure utilizing RRA, WGCNA and Machine learning."
PMC10869931,publication/authors,"The authors who contributed to the article are D. Tu, and other unnamed co-authors. The specific contributions of each author are not detailed.","Tu D, Xu Q, Zuo X, Ma C"
PMC10869931,publication/journal,IJC Heart & Vasculature,International journal of cardiology. Heart & vasculature
PMC11430310,publication/title,"Improved Beluga Whale Optimization Algorithm with Chaotic Mapping, Double Opposition-Based Learning, Elite Position Strategy, and Step-Adaptive Levy Flight Strategy",MSBWO: A Multi-Strategies Improved Beluga Whale Optimization Algorithm for Feature Selection.
PMC11430310,publication/authors,"The authors who contributed to the article are:

- X.L. (administration)
- Z.F. (funding acquisition)
- Z.X. (funding acquisition)

All authors have read and agreed to the published version of the manuscript.","Fan Z, Xiao Z, Li X, Huang Z, Zhang C"
PMC11430310,publication/journal,PMC11430310,"Biomimetics (Basel, Switzerland)"
PMC11430310,publication/year,2023,2024
PMC11430310,publication/doi,Not enough information is available,10.3390/biomimetics9090572
PMC11389371,publication/title,Interpolation of microbiome composition in longitudinal data sets,Interpolation of microbiome composition in longitudinal data sets.
PMC11389371,publication/authors,"The authors who contributed to this article are Omri Peleg and Elhanan Borenstein. Omri Peleg is the first author and contributed significantly to the research and writing of the paper. Elhanan Borenstein is the corresponding author and provided overall guidance and supervision for the study. Both authors are affiliated with the Blavatnik School of Computer Science at Tel Aviv University. Additionally, Elhanan Borenstein is associated with the Faculty of Medical & Health Sciences at Tel Aviv University and the Santa Fe Institute.","Peleg O, Borenstein E"
PMC11331809,publication/title,"Targeting treatment resistance: unveiling the potential of RNA methylation regulators and TG-101,209 in pan-cancer neoadjuvant therapy","Targeting treatment resistance: unveiling the potential of RNA methylation regulators and TG-101,209 in pan-cancer neoadjuvant therapy."
PMC11331809,publication/authors,"The authors who contributed to this article are:

- Yaoyao Zhou and Ziyun Liu: performed research and wrote the original draft.
- Cheng Gong and Jie Zhang: collected data.
- Jing Zhao, Xia Zhang, Rui Li, Bin Li, and Xiangyu Liu: contributed to the investigation and analysis.
- Li Bao, YongJie Xie, and Zhenyu Shi: revised and approved the final version, designed and administered the project, and acquired funding.","Zhou Y, Liu Z, Gong C, Zhang J, Zhao J, Zhang X, Liu X, Li B, Li R, Shi Z, Xie Y, Bao L"
PMC11331809,publication/journal,Journal of Experimental & Clinical Cancer Research,Journal of experimental & clinical cancer research : CR
PMC11331809,publication/doi,https://doi.org/10.1186/s13046-024-03111-x,10.1186/s13046-024-03111-x
PMC10268549,publication/title,Not enough information is available.,Predicting Domestic Abuse (Fairly) and Police Risk Assessment.
PMC10268549,publication/authors,Not enough information is available.,"Turner E, Brown G, Medina-Ariza J"
PMC10268549,publication/journal,Psychosocial Intervention,Psychosocial intervention
PMC10268549,publication/year,2023,2022
PMC10268549,publication/doi,Not enough information is available.,10.5093/pi2022a11
PMC9931490,publication/title,Not enough information is available.,Identification of Pyroptosis-Relevant Signature in Tumor Immune Microenvironment and Prognosis in Skin Cutaneous Melanoma Using Network Analysis.
PMC9931490,publication/authors,Not enough information is available.,"Zhu Y, Han D, Duan H, Rao Q, Qian Y, Chen Q, Du X, Ni H, Wang S"
PMC9931490,publication/journal,Stem Cells International,Stem cells international
PMC9931490,publication/doi,Not enough information is available.,10.1155/2023/3827999
PMC10052246,publication/title,Race-Specific Behavioral Health Needs and Strengths of Asian Americans in Publicly Funded Behavioral Health Services,Predicting the Behavioral Health Needs of Asian Americans in Public Mental Health Treatment: A Classification Tree Approach.
PMC10052246,publication/authors,Not enough information is available.,"Hong S, Walton B, Kim HW, Rhee TG"
PMC10052246,publication/journal,Administration and Policy in Mental Health and Mental Health Services Research,Administration and policy in mental health
PMC10052246,publication/doi,Not enough information is available.,10.1007/s10488-023-01266-x
PMC7821214,publication/title,Not enough information is available,Bruise dating using deep learning.
PMC7821214,publication/authors,"The authors who contributed to this article are Jhonatan Tirado and David Mauricio. Both authors were involved in the development and implementation of the bruise dating model using deep learning techniques. They conducted the research, designed the experiments, and analyzed the results. Additionally, they collaborated on the writing and editing of the manuscript. Their contributions were essential in ensuring the accuracy and reliability of the findings presented in the paper.","Tirado J, Mauricio D"
PMC7821214,publication/journal,Journal of Forensic Sciences,Journal of forensic sciences
PMC7821214,publication/doi,Not enough information is available.,10.1111/1556-4029.14578
PMC8214948,publication/title,3 D brain glioma segmentation in MRI through integrating multiple densely connected 2 D convolutional neural networks,3D brain glioma segmentation in MRI through integrating multiple densely connected 2D convolutional neural networks.
PMC8214948,publication/authors,"The authors who contributed to this article are Xiaobing Zhang, Yin Hu, Wen Chen, Gang Huang, and Shengdong Nie. All authors declared that they have no conflict of interest. They ensured that all procedures followed were in accordance with the ethical standards of the responsible committee on human experimentation and with the Helsinki Declaration of 1975, as revised in 2008. Informed consent was obtained from all patients for being included in the study.","Zhang X, Hu Y, Chen W, Huang G, Nie S"
PMC8214948,publication/journal,J Zhejiang Univ-Sci B ( Biomed & Biotechnol ),Journal of Zhejiang University. Science. B
PMC8214948,publication/doi,10.3389/fncom.2020.00010,10.1631/jzus.b2000381
PMC11319202,publication/title,Not enough information is available.,Unsupervised representation learning on high-dimensional clinical data improves genomic discovery and prediction.
PMC11319202,publication/authors,"The authors who contributed to the article are as follows:

Farhad Hormozdiari conceived the study. Tianyi Yang and Farhad Hormozdiari designed the study in discussion with Benjamin Berman and Ching-Yu Cheng. Tianyi Yang, Jian Chen, Benjamin Berman, Zachary R. Miller, Daniel H. Hwang, Rachel Liao, Daniel Levy, Jason B. Flannick, Tzu-Hsuan S. An, Yuxin Zhang, Alireza Pakdel, Ching-Yu Cheng, and Farhad Hormozdiari performed experiments and analyzed results. Benjamin D. Heth and Michael H. Cho analyzed results and provided clinical expertise. Hao Yang and Andrew C. Chiang performed project administration. Tianyi Yang, Michael H. Cho, Ching-Yu Cheng, and Farhad Hormozdiari wrote the paper with contributions from all authors. All authors edited, reviewed, and approved the final version of the paper.","Yun T, Cosentino J, Behsaz B, McCaw ZR, Hill D, Luben R, Lai D, Bates J, Yang H, Schwantes-An TH, Zhou Y, Khawaja AP, Carroll A, Hobbs BD, Cho MH, McLean CY, Hormozdiari F"
PMC11319202,publication/journal,Nature Genetics,Nature genetics
PMC11319202,publication/doi,Not enough information is available.,10.1038/s41588-024-01831-6
PMC7771510,publication/authors,"The authors who contributed to the article are:

- Katsuki M
- Kakizawa Y
- Nishikawa A
- Y amamoto Y
- Uchiyama T

The specific contributions of each author to the paper are not detailed.","Katsuki M, Kakizawa Y, Nishikawa A, Yamamoto Y, Uchiyama T"
PMC7771510,publication/journal,Surgical Neurology International,Surgical neurology international
PMC7771510,publication/doi,Not enough information is available.,10.25259/sni_636_2020
PMC10873872,publication/title,Identification of novel biomarkers and immune infiltration characteristics of ischemic stroke based on comprehensive bioinformatic analysis and machine learning,Identification of novel biomarkers and immune infiltration characteristics of ischemic stroke based on comprehensive bioinformatic analysis and machine learning.
PMC10873872,publication/authors,"The authors who contributed to the article are Shiyu Hu, Jingjing Cai, Sizhan Chen, Yang Wang, and Lijie Ren. Shiyu Hu, Jingjing Cai, and Sizhan Chen are listed as authors without specific contributions mentioned. Yang Wang and Lijie Ren are corresponding authors, indicating they likely played significant roles in overseeing the research and manuscript preparation. Yang Wang and Lijie Ren are affiliated with the Neurology Department of Shenzhen Second People’s Hospital, First Affiliated Hospital of Shenzhen University Health Science Center, Shenzhen, China. Additionally, it is noted that Yang Wang and Lijie Ren contributed equally to this work.","Hu S, Cai J, Chen S, Wang Y, Ren L"
PMC10873872,publication/journal,Biochemistry and Biophysics Reports,Biochemistry and biophysics reports
PMC10497895,publication/title,Radiomic analysis in sepsis,Radiomic analysis of abdominal organs during sepsis of digestive origin in a French intensive care unit.
PMC10497895,publication/authors,"The authors who contributed to the article are:

- Boutin L
- The remaining authors are not specified in the provided information.","Boutin L, Morisson L, Riché F, Barthélémy R, Mebazaa A, Soyer P, Gallix B, Dohan A, Chousterman BG"
PMC10497895,publication/journal,Journal of the American College of Cardiology,Acute and critical care
PMC10497895,publication/doi,Not enough information is available.,10.4266/acc.2023.00136
PMC4879664,publication/title,Novel verbal fluency scores and structural brain imaging measures for predicting conversion from mild cognitive impairment to Alzheimer’s disease,Novel verbal fluency scores and structural brain imaging for prediction of cognitive outcome in mild cognitive impairment.
PMC4879664,publication/authors,"The authors who contributed to this article are:

- D.G. Clark
- V.G. Wadley
- P. Kapur
- T.P. DeRamus
- B. Singletary
- A.P. Nicholas
- L.G. Apostolova
- P. Lu
- S. Rogers
- R. Dutton
- K. Hayashi
- A.W. Toga
- P.M. Thompson
- K.M. Hayashi
- G. de Zubicaray
- A. Janke
- S.E. Rose
- J. Semple
- K.L. Narr
- T. Sharma
- J. Moussai
- R. Blanton
- B. Anvar
- J. Pantel
- D.S. O’Leary
- K. Cretsinger
- H.J. Bockholt
- H. Keefe
- V.A. Magnotta
- S. Ahmed
- A.M. Haigh
- C.A. de Jager
- P. Garrard
- L.M. Maloney
- J.R. Hodges
- K. Patterson
- M.A. Lambon Ralph
- P.C. Watson
- J. Powis

The specific contributions of each author are not detailed in the provided information.","Clark DG, McLaughlin PM, Woo E, Hwang K, Hurtz S, Ramirez L, Eastman J, Dukes RM, Kapur P, DeRamus TP, Apostolova LG"
PMC4879664,publication/journal,"Alzheimer’s & Dementia: Diagnosis, Assessment & Disease Monitoring","Alzheimer's & dementia (Amsterdam, Netherlands)"
PMC4879664,publication/doi,Not enough information is available.,10.1016/j.dadm.2016.02.001
PMC11795679,publication/title,Development and validation of machine learning-derived frailty index in predicting outcomes of patients undergoing percutaneous coronary intervention,Development and validation of machine learning-derived frailty index in predicting outcomes of patients undergoing percutaneous coronary intervention.
PMC11795679,publication/authors,"The authors who contributed to the article are:

John T.Y. Soong, who contributed to the writing of the original draft, data curation, and conceptualization.

L.F. Tan, who contributed to the writing of the original draft, data curation, and conceptualization.

Rodney Y.H. Soh, who contributed to the writing of the original draft, visualization, data curation, and review & editing.

W.B. He, who contributed to the formal analysis and data curation.

Andie H. Djohan, who contributed to the validation and supervision.

H.W. Sim, who contributed to the writing of the original draft, validation, and supervision.

T.C. Yeo, who contributed to the writing of the original draft, visualization, and supervision.

H.C. Tan, who contributed to the writing of the original draft, data curation, and conceptualization.

Mark Y.Y. Chan, who contributed to the writing of the original draft and supervision.

C.H. Sia, who contributed to the writing of the original draft and supervision.

M.L. Feng, who contributed to the validation, supervision, and software.","Soong JTY, Tan LF, Soh RYH, He WB, Djohan AH, Sim HW, Yeo TC, Tan HC, Chan MYY, Sia CH, Feng ML"
PMC11795679,publication/journal,IJC Heart & Vasculature,International journal of cardiology. Heart & vasculature
PMC11795679,publication/doi,https://doi.org/10.1016/j.ijcha.2024.101511,10.1016/j.ijcha.2024.101511
PMC8269970,publication/title,Machine Learning to Predict Transplant Outcomes: Helpful or Hype?,Machine learning to predict transplant outcomes: helpful or hype? A national cohort study.
PMC8269970,publication/authors,Not enough information is available.,"Bae S, Massie AB, Caffo BS, Jackson KR, Segev DL"
PMC8269970,publication/journal,Transplantation International,Transplant international : official journal of the European Society for Organ Transplantation
PMC8269970,publication/doi,Not enough information is available.,10.1111/tri.13695
PMC9505703,publication/title,Not enough information is available.,Predicting Age-Related Macular Degeneration Progression with Contrastive Attention and Time-Aware LSTM.
PMC9505703,publication/authors,Not enough information is available.,"Yin C, Moroi SE, Zhang P"
PMC9505703,publication/journal,KDD,KDD : proceedings. International Conference on Knowledge Discovery & Data Mining
PMC9505703,publication/doi,Not enough information is available.,10.1145/3534678.3539163
PMC9925947,publication/title,Machine learning-based prediction of amorphous solid dispersion formation and chemical stability during hot-melt extrusion,The applications of machine learning to predict the forming of chemically stable amorphous solid dispersions prepared by hot-melt extrusion.
PMC9925947,publication/authors,Not enough information is available.,"Jiang J, Lu A, Ma X, Ouyang D, Williams RO 3rd"
PMC9925947,publication/journal,International Journal of Pharmaceutics: X,International journal of pharmaceutics: X
PMC9925947,publication/doi,10.1016/J.IJPHARM.2021.120962,10.1016/j.ijpx.2023.100164
PMC8983058,publication/title,Predicting COVID-19 Cases From Atmospheric Parameters Using Machine Learning Approach,Predicting COVID-19 Cases From Atmospheric Parameters Using Machine Learning Approach.
PMC8983058,publication/authors,"The authors who contributed to this article are:

- Ogunjo et al. The specific contributions of each author are not detailed in the provided information.

Not enough information is available to provide the full names of the authors or their respective contributions.","Ogunjo ST, Fuwape IA, Rabiu AB"
PMC8983058,publication/doi,10.1029/2021GH000509,10.1029/2021gh000509
PMC11654828,publication/title,Not enough information is available.,Fine-grained Patient Similarity Measuring using Contrastive Graph Similarity Networks.
PMC11654828,publication/authors,Not enough information is available.,"Liu Y, Zhang Z, Qin S, Salim FD, Bian J, Jimeno Yepes A"
PMC11654828,publication/journal,Proc (IEEE Int Conf Healthc Inform),Proceedings. IEEE International Conference on Healthcare Informatics
PMC11654828,publication/doi,Not enough information is available.,10.1109/ichi61247.2024.00009
PMC8288051,publication/title,Deep learning models for decoding eye-tracking data during visual tasks,Convolutional neural networks can decode eye movement data: A black box approach to predicting task from eye movements.
PMC8288051,publication/authors,"The authors who contributed to the article are Zachary J. Cole, Kuntzelman, Dodd, and Johnson. The specific contributions of each author to the paper are not detailed.","Cole ZJ, Kuntzelman KM, Dodd MD, Johnson MR"
PMC8288051,publication/journal,Journal of Vision,Journal of vision
PMC8288051,publication/doi,10.1167/21.7.9,10.1167/jov.21.7.9
PMC10785655,publication/title,Not enough information is available,Integrating unsupervised and supervised learning techniques to predict traumatic brain injury: A population-based study.
PMC10785655,publication/authors,"The authors who contributed to the article are:

- Suvd Zulbayar, who carried out and optimized the analyses with support and wrote the manuscript.
- Tatyana Mollayeva, who contributed to the writing of the manuscript.
- Angela Colantonio, who contributed to the writing of the manuscript.
- Vincy Chan, who contributed to the writing of the manuscript.
- Michael Escobar, who designed the statistical analysis for this work and contributed to the writing of the manuscript.
- Angela Colantonio, Tatyana Mollayeva, Vincy Chan, and Michael Escobar conceived the original concept and initiated the work.","Zulbayar S, Mollayeva T, Colantonio A, Chan V, Escobar M"
PMC10785655,publication/journal,Intell Based Med.,Intelligence-based medicine
PMC10785655,publication/year,2024,2023
